"sub","pred","obj"
"http://vi.dbpedia.org/ontology/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://vi.dbpedia.org/ontology/","http://www.w3.org/2000/01/rdf-schema#label","Vietnamese DBpedia Extended Ontology"
"http://vi.dbpedia.org/ontology/","http://www.w3.org/2000/01/rdf-schema#comment","Ontology dành cho Vietnamese DBpedia, ánh xạ với DBpedia English và bổ sung khái niệm bản địa."
"http://vi.dbpedia.org/ontology/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/Person","http://www.w3.org/2000/01/rdf-schema#label","Nhân vật"
"http://vi.dbpedia.org/ontology/Person","http://www.w3.org/2002/07/owl#equivalentClass","http://dbpedia.org/ontology/Person"
"http://vi.dbpedia.org/ontology/MilitaryPerson","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/MilitaryPerson","http://www.w3.org/2000/01/rdf-schema#label","Quân nhân"
"http://vi.dbpedia.org/ontology/MilitaryPerson","http://www.w3.org/2002/07/owl#equivalentClass","http://dbpedia.org/ontology/MilitaryPerson"
"http://vi.dbpedia.org/ontology/MilitaryPerson","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://vi.dbpedia.org/ontology/Person"
"http://vi.dbpedia.org/ontology/Company","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/Company","http://www.w3.org/2000/01/rdf-schema#label","Công ty / Doanh nghiệp"
"http://vi.dbpedia.org/ontology/Company","http://www.w3.org/2002/07/owl#equivalentClass","http://dbpedia.org/ontology/Company"
"http://vi.dbpedia.org/ontology/University","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/University","http://www.w3.org/2000/01/rdf-schema#label","Trường Đại học"
"http://vi.dbpedia.org/ontology/University","http://www.w3.org/2002/07/owl#equivalentClass","http://dbpedia.org/ontology/University"
"http://vi.dbpedia.org/ontology/River","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/River","http://www.w3.org/2000/01/rdf-schema#label","Sông ngòi"
"http://vi.dbpedia.org/ontology/River","http://www.w3.org/2002/07/owl#equivalentClass","http://dbpedia.org/ontology/River"
"http://vi.dbpedia.org/ontology/AdministrativeDivisionVN","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/AdministrativeDivisionVN","http://www.w3.org/2000/01/rdf-schema#label","Đơn vị hành chính Việt Nam"
"http://vi.dbpedia.org/ontology/AdministrativeDivisionVN","http://www.w3.org/2000/01/rdf-schema#comment","Phân cấp hành chính đặc thù của Việt Nam (Tỉnh, Huyện, Xã)"
"http://vi.dbpedia.org/ontology/AdministrativeDivisionVN","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://dbpedia.org/ontology/PopulatedPlace"
"http://vi.dbpedia.org/ontology/VietnameseDynasty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://vi.dbpedia.org/ontology/VietnameseDynasty","http://www.w3.org/2000/01/rdf-schema#label","Triều đại Việt Nam"
